date,open,high,low,close,volume,amount,return
2021-01-26,2541.31,2558.64,2530.98,2536.2,,20922201.0,-0.0031248157537882015
2021-01-27,2536.13,2554.9,2529.53,2533.35,,24185490.0,-0.0011237284125856783
2021-01-28,2519.25,2519.25,2499.21,2505.34,,22483869.0,-0.011056506207195893
2021-01-29,2510.04,2515.17,2470.4,2483.5,,26159028.0,-0.008717379677009918
2021-02-01,2483.61,2506.65,2471.3,2504.44,,25522547.0,0.008431648882625264
2021-02-02,2505.93,2514.29,2502.54,2510.21,,24108549.0,0.00230390825893223
2021-02-03,2508.81,2509.05,2481.07,2487.59,,22644379.0,-0.009011198266280496
2021-02-04,2480.87,2480.87,2457.67,2472.32,,23382801.0,-0.006138471371890053
2021-02-05,2468.92,2503.16,2463.52,2490.71,,41538029.0,0.007438357494175429
2021-02-08,2491.96,2513.18,2485.5,2505.17,,31328283.0,0.0058055735111675055
2021-02-09,2505.0,2524.31,2493.41,2521.73,,27125525.0,0.0066103298378952235
2021-02-10,2525.44,2538.23,2521.46,2535.13,,36471239.0,0.0053138123431137885
2021-02-18,2571.83,2613.07,2571.83,2608.96,,44799992.0,0.029122766879804862
2021-02-19,2605.89,2663.14,2601.37,2661.55,,33182748.0,0.0201574573776524
2021-02-22,2667.48,2736.49,2666.9,2701.37,,52534791.0,0.014961206815577333
2021-02-23,2695.37,2702.33,2670.57,2675.7,,41101283.0,-0.009502585725021051
2021-02-24,2678.72,2682.92,2628.34,2642.59,,35122991.0,-0.012374331950517514
2021-02-25,2663.06,2698.9,2663.06,2687.73,,41546940.0,0.017081726639395445
2021-02-26,2646.42,2660.75,2624.92,2629.76,,38401958.0,-0.021568386705509757
2021-03-01,2636.29,2674.67,2635.09,2673.59,,28957481.0,0.016666920175225197
2021-03-02,2684.85,2690.79,2637.45,2652.72,,31469289.0,-0.007805983714780584
2021-03-03,2653.12,2725.25,2653.12,2723.64,,45530230.0,0.026734823124943574
2021-03-04,2715.07,2745.12,2708.23,2717.57,,42544053.0,-0.0022286352087645955
2021-03-05,2692.41,2703.74,2667.44,2691.8,,39901392.0,-0.009482736415253323
2021-03-08,2707.99,2729.31,2673.43,2674.67,,39928120.0,-0.0063637714540456525
2021-03-09,2674.21,2714.16,2630.49,2671.74,,41217076.0,-0.001095462243940526
2021-03-10,2672.23,2681.51,2646.3,2650.0,,28807317.0,-0.008137019320742178
2021-03-11,2651.88,2705.98,2649.41,2703.12,,33136321.0,0.020045283018867988
2021-03-12,2712.48,2735.73,2698.19,2729.95,,33232903.0,0.00992556749237905
2021-03-15,2731.43,2765.53,2729.86,2754.33,,36785869.0,0.0089305664938919
2021-03-16,2749.26,2764.81,2729.48,2761.05,,28952406.0,0.0024397947958305632
