date,open,high,low,close,volume,amount,return
2017-09-28,4980.99,4989.91,4972.36,4973.82,,311390269.02,-0.001888333470459913
2017-09-29,4977.92,5008.25,4977.92,5002.55,,303400337.97,0.005776244415760967
2017-10-09,5074.96,5086.27,5051.26,5060.32,,385346767.32,0.011548110463663441
2017-10-10,5059.87,5082.88,5041.53,5082.46,,368879144.75,0.0043752173775573056
2017-10-11,5080.11,5093.79,5072.29,5080.57,,383425936.17,-0.00037186716668702324
2017-10-12,5077.31,5086.1,5054.21,5081.27,,336920955.1,0.00013777981604445877
2017-10-13,5080.09,5103.96,5077.8,5100.55,,312720115.11,0.0037943270087990033
2017-10-16,5101.8,5104.47,5048.56,5049.98,,384228837.93,-0.009914617051102415
2017-10-17,5042.38,5063.5,5029.19,5047.15,,261799610.41,-0.0005603982590030032
2017-10-18,5048.34,5064.3,5032.95,5044.09,,312788716.78,-0.0006062827536331694
2017-10-19,5038.46,5043.77,5003.14,5010.82,,319093798.23,-0.006595837901385626
2017-10-20,4999.85,5037.26,4997.04,5036.93,,251529858.06,0.005210723993278599
2017-10-23,5039.22,5056.04,5033.62,5054.9,,264012480.16,0.0035676493419600774
2017-10-24,5049.17,5061.91,5040.05,5061.88,,273988408.51,0.0013808383944291514
2017-10-25,5058.69,5090.44,5055.03,5089.7,,261448314.38,0.005495981730108124
2017-10-26,5089.2,5123.07,5082.56,5109.78,,343251778.16,0.00394522270467812
2017-10-27,5106.41,5119.51,5097.49,5109.68,,325216661.38,-1.9570314181760473e-05
2017-10-30,5105.48,5113.54,4999.85,5045.26,,403577646.72,-0.012607443127554019
2017-10-31,5032.69,5062.76,5026.76,5062.09,,288977422.98,0.0033358042994811044
2017-11-01,5062.48,5085.43,5048.89,5055.37,,320633621.92,-0.0013275149197269354
2017-11-02,5049.77,5049.84,5012.67,5026.97,,322256487.67,-0.005617788608944463
2017-11-03,5021.5,5030.07,4973.4,5003.17,,328959715.81,-0.004734462310298282
2017-11-06,5001.19,5047.51,4984.06,5047.01,,310288500.21,0.008762444610117104
2017-11-07,5046.94,5082.26,5044.65,5081.41,,357736631.94,0.006815916750709805
2017-11-08,5077.08,5118.01,5072.47,5083.47,,367373010.91,0.00040539928878025044
2017-11-09,5079.65,5117.08,5078.94,5116.79,,321254362.42,0.006554577876922485
2017-11-10,5110.45,5150.06,5105.39,5145.69,,368843385.49,0.005648072326595255
2017-11-13,5148.71,5163.51,5143.58,5159.42,,392182112.32,0.002668252459825604
2017-11-14,5158.52,5162.95,5105.2,5122.52,,385507318.89,-0.007151966693930589
2017-11-15,5106.57,5120.44,5062.65,5082.26,,323821142.84,-0.007859412945191102
2017-11-16,5072.27,5109.92,5067.07,5100.84,,314446562.67,0.003655853891772587
2017-11-17,5091.22,5105.06,5021.8,5026.99,,455994461.02,-0.014478007543855642
2017-11-20,4997.35,5055.51,4940.79,5055.08,,337879135.56,0.005587836856647765
2017-11-21,5043.17,5104.02,5039.04,5102.29,,374838091.21,0.009339120251311561
2017-11-22,5108.67,5137.2,5065.69,5105.44,,388957469.46,0.0006173698476565903
2017-11-23,5092.54,5092.54,4962.05,4970.2,,388671290.51,-0.02648939170766862
2017-11-24,4953.44,4987.4,4934.53,4973.51,,300178528.29,0.0006659691762906927
2017-11-27,4960.59,4960.67,4904.9,4912.66,,309076733.94,-0.012234820076766795
2017-11-28,4900.33,4952.68,4894.1,4952.68,,263428979.83,0.008146299560726877
2017-11-29,4955.53,4962.37,4900.81,4957.89,,331888157.53,0.0010519557088284337
2017-11-30,4940.94,4958.11,4897.82,4913.7,,285392951.93,-0.008913065840508883
2017-12-01,4910.29,4947.48,4898.53,4929.92,,267650327.89,0.003300974825487968
2017-12-04,4922.15,4950.38,4915.25,4921.59,,280982908.6,-0.0016896825911981717
2017-12-05,4909.58,4929.15,4861.66,4874.02,,362008010.51,-0.009665575555867001
2017-12-06,4859.42,4878.92,4808.8,4878.73,,289033625.28,0.0009663481069013269
2017-12-07,4866.15,4881.79,4833.91,4845.48,,248641670.25,-0.006815298243600276
2017-12-08,4837.39,4899.46,4835.67,4889.23,,258164302.44,0.009029033243352469
2017-12-11,4894.12,4956.63,4894.12,4956.48,,279260000.42,0.013754722113707096
2017-12-12,4954.52,4954.98,4902.24,4902.42,,264545144.41,-0.010906933953127917
2017-12-13,4897.19,4939.78,4892.92,4939.44,,236149922.63,0.007551372587415894
2017-12-14,4937.96,4946.29,4911.61,4927.61,,254416504.91,-0.002395008341026461
2017-12-15,4919.76,4922.71,4877.71,4889.44,,276286388.21,-0.007746148741479164
2017-12-18,4887.51,4905.62,4857.74,4876.23,,244425224.77,-0.0027017408946627963
2017-12-19,4875.5,4922.36,4875.44,4922.09,,235130548.86,0.009404806582134162
2017-12-20,4920.1,4922.6,4884.05,4896.19,,266478325.79,-0.005261992365031998
2017-12-21,4887.88,4938.6,4863.07,4926.17,,273573988.04,0.0061231283916678425
2017-12-22,4921.98,4935.15,4909.24,4915.8,,238078202.63,-0.0021050836654032956
2017-12-25,4916.04,4929.82,4864.26,4878.31,,273267110.89,-0.007626429065462292
2017-12-26,4875.24,4900.52,4848.3,4899.36,,260255296.42,0.004315018930736159
2017-12-27,4891.86,4895.91,4845.14,4848.96,,291646339.27,-0.010287057901440133
2017-12-28,4846.12,4890.18,4835.93,4873.34,,311670346.05,0.005027882267537809
2017-12-29,4875.07,4899.29,4872.18,4898.9,,261867241.46,0.005244862866124578
2018-01-02,4911.06,4959.42,4911.06,4959.1,,349648451.87,0.012288472922493021
2018-01-03,4960.95,5010.41,4956.96,4995.41,,392342874.55,0.007321893085438846
2018-01-04,4993.91,5017.46,4987.32,5013.85,,366794963.98,0.0036913886948219954
2018-01-05,5015.1,5031.6,5005.34,5020.49,,383455654.63,0.001324331601463724
2018-01-08,5020.1,5038.98,5001.35,5038.76,,421555278.78,0.003639087021386489
2018-01-09,5034.85,5054.99,5030.39,5054.53,,355266481.77,0.0031297382689390307
2018-01-10,5052.21,5058.43,5013.08,5049.2,,386036948.93,-0.0010544996270671625
2018-01-11,5037.24,5063.03,5025.29,5058.45,,344569866.94,0.0018319733819218698
2018-01-12,5054.94,5069.29,5040.23,5057.91,,340165297.76,-0.00010675206832133632
2018-01-15,5054.87,5060.91,4984.9,4996.06,,434454607.56,-0.012228371006996808
2018-01-16,4986.03,5030.76,4985.29,5030.06,,382511857.01,0.006805362625749156
2018-01-17,5026.0,5031.65,4984.62,5016.0,,447977682.16,-0.0027951952859409657
2018-01-18,5017.36,5046.51,5013.68,5035.34,,354501534.02,0.0038556618819776123
2018-01-19,5040.22,5070.86,5024.04,5036.99,,410258589.85,0.000327683929982836
2018-01-22,5027.36,5092.17,5025.14,5091.0,,380693202.99,0.010722673660261473
2018-01-23,5095.16,5121.69,5092.62,5121.19,,397109866.77,0.0059300726772735235
2018-01-24,5122.33,5140.03,5097.61,5139.49,,443962307.39,0.0035733882164106223
2018-01-25,5131.2,5151.54,5112.62,5120.39,,435909270.36,-0.0037163220475182612
2018-01-26,5107.01,5142.88,5104.96,5126.61,,381243516.77,0.0012147512201217125
2018-01-29,5128.31,5134.04,5035.6,5048.67,,417915406.02,-0.015203028902139981
2018-01-30,5034.78,5055.5,5011.36,5017.21,,328452093.09,-0.0062313440965640066
2018-01-31,4990.07,5007.04,4950.68,4974.35,,381977152.93,-0.008542596383248835
2018-02-01,4969.13,4980.33,4849.6,4864.46,,465034317.74,-0.022091328515283504
2018-02-02,4826.25,4875.16,4767.74,4874.81,,375039040.7,0.0021276770700140446
2018-02-05,4805.65,4873.18,4796.1,4868.81,,351446525.21,-0.0012308172010806473
2018-02-06,4774.25,4797.9,4677.85,4680.83,,460232754.2,-0.03860902356017193
2018-02-07,4748.55,4764.22,4601.42,4627.1,,428830293.79,-0.011478733472482405
